name,price,socket,ram_type,ram_slots_count
ASUS Maximus X HERO + ASUS ROG Magnetic Addressable-RGB-LED-Strip,5714,6,2,4
Asus P10S WS,15120,6,2,4
ASUS P10S WS 2x GL/USB3.0/SATA600/VGA,0,6,2,4
Asus P10S-M WS,13790,6,2,4
ASUS P10S-V/4L 4x GL/USB3.0/SATA600/VGA,0,6,2,4
ASUS PRIME A320I-K/CSM,0,18,2,2
ASUS PRIME A320M-A,0,18,2,4
Asus PRIME A320M-A,4270,18,2,4
ASUS PRIME A320M-E,0,18,2,2
ASUS PRIME A320M-K,4129,18,2,2
ASUS PRIME A520M-E,0,18,2,2
ASUS PRIME A520M-K,0,18,2,2
ASUS PRIME B250-PLUS,6517,6,2,4
ASUS PRIME B250-PRO,0,6,2,4
ASUS PRIME B250M-K,0,6,2,2
Asus PRIME B250M-PLUS,0,6,2,4
ASUS PRIME B250M-PLUS,0,6,2,4
ASUS PRIME B350-PLUS,0,18,2,4
Asus PRIME B350-PLUS,6251,18,2,4
ASUS PRIME B350M-A,5740,18,2,4
ASUS PRIME B350M-E,0,18,2,2
Asus PRIME B350M-E,5249,18,2,2
ASUS PRIME B350M-K,0,18,2,2
ASUS PRIME B360-Plus,0,6,2,4
Asus PRIME B360-PLUS,7069,6,2,4
ASUS PRIME B360M-A,5459,6,2,4
Asus PRIME B360M-A,5599,6,2,4
Asus PRIME B360M-K,5599,6,2,2
ASUS PRIME B360M-K,5697,6,2,2
ASUS PRIME B365M-A Gaming,0,6,2,4
Asus PRIME B450-PLUS,6999,18,2,4
"ASUS PRIME B450-Plus, AMD B450",6999,18,2,4
ASUS PRIME B450M-A,5599,18,2,4
ASUS PRIME B450M-A II,0,18,2,4
"ASUS PRIME B450M-K Gaming, AMD B450",0,18,2,2
ASUS PRIME B450M-K II,0,18,2,2
ASUS PRIME B460-PLUS,0,8,2,4
ASUS PRIME B460M-A,0,8,2,4
ASUS PRIME B460M-K,0,8,2,2
ASUS Prime B550-PLUS,0,18,2,4
ASUS Prime B550M-A,0,18,2,4
ASUS Prime B550M-A (Wi-Fi),0,18,2,4
ASUS Prime B550M-K,0,18,2,4
ASUS PRIME B560-PLUS,0,8,2,4
ASUS PRIME B560M-A,0,8,2,4
ASUS PRIME B560M-K,0,8,2,2
ASUS Prime B760-Plus D4,0,9,2,4
ASUS Prime B760M-A D4,0,9,2,4
ASUS Prime B760M-A WiFi D4,0,9,2,4
ASUS Prime B760M-K D4,0,9,2,2
ASUS PRIME H270-PLUS,0,6,2,4
ASUS PRIME H270-PRO,0,6,2,4
Asus PRIME H270-PRO,10219,6,2,4
ASUS PRIME H270M-PLUS,0,6,2,4
ASUS PRIME H310-Plus,0,6,2,2
Asus PRIME H310M-A,4899,6,2,2
ASUS PRIME H310M-A,5109,6,2,2
ASUS PRIME H310M-D,0,6,2,2
Asus PRIME H310M-E,4199,6,2,2
ASUS PRIME H310M-E,4199,6,2,2
ASUS PRIME H310M-E R2.0,3919,6,2,2
ASUS PRIME H310M-K,0,6,2,2
ASUS PRIME H310M-K R2.0,0,6,2,2
ASUS PRIME H370-A,7592,6,2,4
Asus PRIME H370-A,7839,6,2,4
ASUS PRIME H370-Plus,0,6,2,4
Asus PRIME H370-PLUS,7902,6,2,4
Asus PRIME H370M-PLUS,6999,6,2,4
ASUS PRIME H370M-Plus,7419,6,2,4
ASUS PRIME H410M-A,0,8,2,2
ASUS PRIME H410M-D,0,8,2,2
ASUS PRIME H410M-E,0,8,2,2
ASUS PRIME H410M-K,0,8,2,2
ASUS PRIME H470-PLUS Gaming,0,8,2,4
ASUS PRIME H470M-PLUS Gaming,0,8,2,4
ASUS PRIME H510M-A,3849,8,2,2
ASUS PRIME H510M-A WIFI,0,8,2,2
ASUS PRIME H510M-D Intel H510,0,8,2,2
ASUS PRIME H510M-E Intel H510,0,8,2,2
ASUS PRIME H510M-K Intel H510,0,8,2,2
ASUS PRIME H570-Plus,0,8,2,4
ASUS PRIME H570M-PLUS,0,8,2,4
ASUS Prime H610M-A D4,0,9,2,2
ASUS Prime H610M-A D4-CSM,0,9,2,2
ASUS Prime H610M-D D4,0,9,2,2
